name,Snow WaterEquivalent,Snow WaterEquivalent,Water Year-to-DatePrecipitation,Water Year-to-DatePrecipitation,
State  River Basin,# of Sites,Percent ofMedian,# ofSites,Percent ofMedian,NA
ALASKA,ALASKA,ALASKA,ALASKA,ALASKA,ALASKA
LOWER PEND OREILLE,5/5,51,5/5,98,NA
UPPER COLUMBIA,7/9,86,7/9,109,NA
CENTRAL COLUMBIA,10/11,42,11/11,117,NA
UPPER YAKIMA,6/7,18,7/7,110,NA
NACHES,8/8,38,7/8,109,NA
LOWER YAKIMA,2/4,27,3/4,103,NA
KLICKITAT,3/5,35,4/5,101,NA
"LOWER SNAKE, WALLA WALLA",13/14,27,12/14,92,NA
LOWER COLUMBIA,14/17,37,13/17,104,NA
SOUTH PUGET SOUND,12/14,29,10/14,109,NA
CENTRAL PUGET SOUND,9/9,28,8/9,110,NA
NORTH PUGET SOUND,12/13,57,11/13,112,NA
OLYMPIC,4/4,28,4/4,92,NA
WYOMING,WYOMING,WYOMING,WYOMING,WYOMING,WYOMING
SNAKE RIVER,21/22,60,21/22,107,NA
MADISON HEADWATERS IN WYOMING,5/5,66,5/5,104,NA
YELLOWSTONE HEADWATERS IN WYOMING,12/12,95,12/12,118,NA
WIND RIVER,9/11,58,9/11,109,NA
BIGHORN BASIN,10/11,64,11/11,95,NA
SHOSHONE RIVER,6/6,68,6/6,115,NA
POWDER RIVER,6/7,27,7/7,98,NA
TONGUE RIVER,6/7,51,7/7,91,NA
BELLE FOURCHE,3/3,0*,3/3,96,NA
CHEYENNE RIVER BASIN,2/2,0*,2/2,96,NA
UPPER N. PLATTE,19/20,37,19/20,77,NA
SWEETWATER,3/3,40,3/3,89,NA
LOWER N. PLATTE,4/4,4,4/4,74,NA
LARAMIE RIVER,6/7,8,7/7,72,NA
S. PLATTE,1/1,25*,1/1,68,NA
LITTLE SNAKE RIVER,8/9,33,8/9,83,NA
UPPER GREEN RIVER,14/15,55,14/15,103,NA
LOWER GREEN RIVER,8/12,34,10/12,89,NA
UPPER BEAR RIVER,11/12,38,12/12,98,NA
